Transcript Cluster ID	Chromosome	Transcript Cluster Start	Transcript Cluster Stop	Transcript ID	Transcript Description	Gene Title	Gene Symbol	transcript cluster probe set id
TC0X00011360.hg.1	X	45746157	45746266	ENST00000385135 /// NR_029635 /// uc011mle.1 /// LM608366.1:1..110:precursor_RNA /// NONHSAT136804 /// NR_029635.1:1..110:precursor_RNA	microRNA 221 [gene_biotype:miRNA transcript_biotype:miRNA] /// Homo sapiens microRNA 221 (MIR221), microRNA. /// Homo sapiens microRNA 221 (MIR221), microRNA. /// precursor microRNA mir-221 /// Non-coding transcript identified by NONCODE /// precursor microRNA mir-221	microRNA 221	MIR221	---
TC1000007705.hg.1	10	58547618	58547994	zoygleybu.aAug10-unspliced	Transcript Identified by AceView	Transcript Identified by AceView	zoygleybu	---
TC1000008389.hg.1	10	88992370	88992539	ENST00000620386 /// uc057utx.1	"FAS antisense RNA 1 conserved region [Source:RFAM;Acc:RF02116] /// FAS antisense RNA 1 conserved region [Source:RFAM;Acc:RF02116]"	"FAS antisense RNA 1 conserved region [Source:RFAM;Acc:RF02116] /// FAS antisense RNA 1 conserved region [Source:RFAM;Acc:RF02116]"	FAS-AS1 /// FAS-AS1	---
TC1000009284.hg.1	10	127409892	127410666	borma.aAug10-unspliced	Transcript Identified by AceView	Transcript Identified by AceView	borma	---
TC1000009468.hg.1	10	133446684	133449757	mitaro.aAug10-unspliced	Transcript Identified by AceView	Transcript Identified by AceView	mitaro	---
TC1000009910.hg.1	10	16659301	16660663	slorlor.aAug10-unspliced	Transcript Identified by AceView	Transcript Identified by AceView	slorlor	---
TC1000010066.hg.1	10	24650667	24651037	goneyby.aAug10-unspliced	Transcript Identified by AceView	Transcript Identified by AceView	goneyby	---
TC1000010274.hg.1	10	33199390	33200539	boyshar.aAug10-unspliced	Transcript Identified by AceView	Transcript Identified by AceView	boyshar	---
TC1000010278.hg.1	10	33290368	33292432	jonoyby.aAug10-unspliced	Transcript Identified by AceView	Transcript Identified by AceView	jonoyby	---
TC1000010279.hg.1	10	33316956	33317828	jornoyby.aAug10-unspliced	Transcript Identified by AceView	Transcript Identified by AceView	jornoyby	---
TC1100006607.hg.1	11	3166788	3168829	T053388	Transcript identified by MiTranscriptome	---	---	---
TC1100006880.hg.1	11	12379135	12379579	shoflerbu.aAug10-unspliced	Transcript Identified by AceView	Transcript Identified by AceView	shoflerbu	---
TC1100007695.hg.1	11	57772097	57773294	kise.aAug10-unspliced	Transcript Identified by AceView	Transcript Identified by AceView	kise	---
TC1100007696.hg.1	11	57786858	57788059	pyplu.aAug10-unspliced	Transcript Identified by AceView	Transcript Identified by AceView	pyplu	---
TC1100008849.hg.1	11	95806267	95807666	beeskar.aAug10-unspliced	Transcript Identified by AceView	Transcript Identified by AceView	beeskar	---
TC1100009293.hg.1	11	120365666	120365963	ENST00000621414 /// uc058ill.1	"7SK RNA [Source:RFAM;Acc:RF00100] /// 7SK RNA [Source:RFAM;Acc:RF00100]"	"7SK RNA [Source:RFAM;Acc:RF00100] /// 7SK RNA [Source:RFAM;Acc:RF00100]"	7SK /// 7SK	---
TC1100009296.hg.1	11	120426006	120426360	rorkarby.bAug10-unspliced	Transcript Identified by AceView	Transcript Identified by AceView	rorkarby	---
TC1100009575.hg.1	11	132264280	132264849	zawglee.bAug10-unspliced	Transcript Identified by AceView	Transcript Identified by AceView	zawglee	---
TC1100011801.hg.1	11	83057205	83058401	gleefey.aAug10-unspliced	Transcript Identified by AceView	Transcript Identified by AceView	gleefey	---
TC1100011806.hg.1	11	83160223	83166175	rysku.aAug10-unspliced	Transcript Identified by AceView	Transcript Identified by AceView	rysku	---
TC1100011834.hg.1	11	85702199	85704327	riyare.aAug10-unspliced	Transcript Identified by AceView	Transcript Identified by AceView	riyare	---
TC1100012020.hg.1	11	95195125	95195629	SESN3.iAug10-unspliced	Transcript Identified by AceView, Entrez Gene ID(s) 143686	Transcript Identified by AceView, Entrez Gene ID(s) 143686	SESN3	---
TC1100012043.hg.1	11	96224460	96225521	lermaw.aAug10-unspliced	Transcript Identified by AceView	Transcript Identified by AceView	lermaw	---
TC1100012049.hg.1	11	96277916	96281531	sekira.aAug10-unspliced	Transcript Identified by AceView	Transcript Identified by AceView	sekira	---
TC1100012051.hg.1	11	96309704	96311963	werforby.aAug10-unspliced	Transcript Identified by AceView	Transcript Identified by AceView	werforby	---
TC1100012438.hg.1	11	117092222	117093847	skeylerby.aAug10-unspliced	Transcript Identified by AceView	Transcript Identified by AceView	skeylerby	---
TC1200008044.hg.1	12	65869151	65870177	kunemi.aAug10-unspliced	Transcript Identified by AceView	Transcript Identified by AceView	kunemi	---
TC1200008467.hg.1	12	93389724	93391140	faney.aAug10-unspliced	Transcript Identified by AceView	Transcript Identified by AceView	faney	---
TC1200009218.hg.1	12	122755845	122757577	woytybo.aAug10	Transcript Identified by AceView	Transcript Identified by AceView	woytybo	---
TC1300008559.hg.1	13	32527794	32531226	wawcha.aAug10-unspliced	Transcript Identified by AceView	Transcript Identified by AceView	wawcha	---
TC1400007233.hg.1	14	55281782	55282665	jybuby.aAug10-unspliced	Transcript Identified by AceView	Transcript Identified by AceView	jybuby	---
TC1400007269.hg.1	14	56596987	56598576	lacheybu.aAug10-unspliced	Transcript Identified by AceView	Transcript Identified by AceView	lacheybu	---
TC1400010677.hg.1	14	100979002	100979090	ENST00000364166 /// uc059fhj.1 /// NONHSAT039893	"Small nucleolar RNA SNORD113/SNORD114 family [gene_biotype:snoRNA transcript_biotype:snoRNA] /// Small nucleolar RNA SNORD113/SNORD114 family [Source:RFAM;Acc:RF00181] /// Non-coding transcript identified by NONCODE"	"Small nucleolar RNA SNORD113/SNORD114 family [Source:RFAM;Acc:RF00181]"	SNORD113	---
TC1400010688.hg.1	14	100991919	100991990	ENST00000364448 /// NR_003223 /// uc001yju.4 /// NR_003223.1:1..71:ncRNA /// NONHSAT039910	"small nucleolar RNA, C/D box 114-30 [gene_biotype:snoRNA transcript_biotype:snoRNA] /// Homo sapiens small nucleolar RNA, C/D box 114-30 (SNORD114-30), small nucleolar RNA. /// small nucleolar RNA, C/D box 114-30 [Source:HGNC Symbol;Acc:HGNC:33018] /// small nucleolar RNA, C/D box 114-30 (SNORD114-30), small nucleolar RNA. /// Non-coding transcript identified by NONCODE"	"small nucleolar RNA, C/D box 114-30 /// small nucleolar RNA, C/D box 114-30 [Source:HGNC Symbol;Acc:HGNC:33018]"	SNORD114-30 /// SNORD114-30	---
TC1500006677.hg.1	15	28603111	28605507	pluchubu.aAug10-unspliced	Transcript Identified by AceView	Transcript Identified by AceView	pluchubu	---
TC1500007241.hg.1	15	51833134	51833426	ENST00000621102 /// uc059jgy.1 /// LK938314.1:1..293:ncRNA /// OTTHUMT00000473925	havana:known chromosome:GRCh38:15:51833134:51833426:1 gene:ENSG00000274954 gene_biotype:sense_intronic transcript_biotype:sense_intronic /// N/A /// long non-coding RNA OTTHUMT00000473925.1 /// novel transcript	 /// novel transcript	RP11-56B16.6 /// RP11-56B16.6	---
TC1500007746.hg.1	15	71424331	71424877	jorey.aAug10-unspliced	Transcript Identified by AceView	Transcript Identified by AceView	jorey	---
TC1500007988.hg.1	15	78906127	78906809	ENST00000624440 /// uc059mgi.1 /// OTTHUMT00000421839 /// NONHSAT047623 /// NONHSAT047623	N/A /// N/A /// tec /// Non-coding transcript identified by NONCODE /// Non-coding transcript identified by NONCODE: Linc	 ///  /// tec	RP11-16K12.2 /// RP11-16K12.2 /// RP11-16K12.2	---
TC1500008050.hg.1	15	80802978	80803485	klorstoy.aAug10-unspliced	Transcript Identified by AceView	Transcript Identified by AceView	klorstoy	---
TC1500008493.hg.1	15	98779763	98780171	plyskaw.aAug10-unspliced	Transcript Identified by AceView	Transcript Identified by AceView	plyskaw	---
TC1500008874.hg.1	15	30564940	30625773	uc059hbr.1 /// ENST00000501830 /// ENST00000501830.2 /// OTTHUMT00000430725 /// lnc-RP11-382B18.2.1-1:1 /// HG506828.1:1..970:ncRNA /// NONHSAT041375 /// NONHSAT041375	N/A /// havana:known chromosome:GRCh38:15:30616998:30625773:-1 gene:ENSG00000247728 gene_biotype:antisense transcript_biotype:antisense /// N/A /// novel transcript, antisense to ARHGAP11B /// Transcript Originally Identified by LNCipedia /// long non-coding RNA OTTHUMT00000430725.1 (RP11-932O9.7 gene /// Non-coding transcript identified by NONCODE /// Non-coding transcript identified by NONCODE: Linc	 ///  /// novel transcript, antisense to ARHGAP11B	RP11-932O9.7 /// RP11-932O9.7 /// RP11-932O9.7	---
TC1500009183.hg.1	15	42180935	42181564	flyzawbu.aAug10-unspliced	Transcript Identified by AceView	Transcript Identified by AceView	flyzawbu	---
TC1500009464.hg.1	15	52671861	52672081	lustu.aAug10-unspliced	Transcript Identified by AceView	Transcript Identified by AceView	lustu	---
TC1500009652.hg.1	15	60884348	60885780	veezo.aAug10-unspliced	Transcript Identified by AceView	Transcript Identified by AceView	veezo	---
TC1500009664.hg.1	15	61220726	61221110	chr15_61512925_61513309	circRNA transcript identified by Guo, et al. on chr15 from 61512925-61513309 on Hg19	---	---	---
TC1500009922.hg.1	15	70758269	70758856	ENST00000621778 /// uc059kwb.1 /// LK938347.1:1..588:ncRNA /// OTTHUMT00000474076	havana:known chromosome:GRCh38:15:70758269:70758856:-1 gene:ENSG00000274297 gene_biotype:sense_intronic transcript_biotype:sense_intronic /// N/A /// long non-coding RNA OTTHUMT00000474076.1 /// novel transcript, sense intronic to UACA	 /// novel transcript, sense intronic to UACA	RP11-138H8.8 /// RP11-138H8.8	---
TC1500010657.hg.1	15	101221894	101224966	jawswaw.aAug10-unspliced	Transcript Identified by AceView	Transcript Identified by AceView	jawswaw	---
TC1600007273.hg.1	16	25072411	25072473	NONHSAT141337	Non-coding transcript identified by NONCODE	---	---	---
TC1600007898.hg.1	16	53991012	53994454	ENST00000624987 /// uc059ugq.1 /// OTTHUMT00000433145	N/A /// N/A /// novel transcript	 ///  /// novel transcript	RP11-357N13.6 /// RP11-357N13.6 /// RP11-357N13.6	---
TC1600009298.hg.1	16	7818157	7818413	T126851	Transcript identified by MiTranscriptome	---	---	---
TC1600009359.hg.1	16	10462686	10465944	lnc-EMP2-2:1	Transcript Originally Identified by LNCipedia	---	---	---
TC1600009707.hg.1	16	22498669	22499259	pleypo.aAug10-unspliced	Transcript Identified by AceView	Transcript Identified by AceView	pleypo	---
TC1600009740.hg.1	16	23501767	23502788	blozu.aAug10-unspliced	Transcript Identified by AceView	Transcript Identified by AceView	blozu	---
TC1700006730.hg.1	17	7236147	7236672	tower.aAug10	Transcript Identified by AceView	Transcript Identified by AceView	tower	---
TC1700009418.hg.1	17	2072823	2072886	NONHSAT144907 /// NONHSAT144909	Non-coding transcript identified by NONCODE /// Non-coding transcript identified by NONCODE	---	---	---
TC1700011455.hg.1	17	64656902	64658197	tuwaw.aAug10-unspliced	Transcript Identified by AceView	Transcript Identified by AceView	tuwaw	---
TC1700011469.hg.1	17	64905883	64906018	ENST00000606708 /// OTTHUMT00000470482	havana:known chromosome:GRCh38:17:64905883:64906018:-1 gene:ENSG00000271974 gene_biotype:transcribed_processed_pseudogene transcript_biotype:transcribed_processed_pseudogene /// RAD52 motif 1 (RDM1) pseudogene[gene_biotype:transcribed_processed_pseudogene transcript_biotype:transcribed_processed_pseudogene]	---	RP11-927P21.12	---
TC1700011488.hg.1	17	65420583	65420660	NONHSAT055373	Non-coding transcript identified by NONCODE	---	---	---
TC1800006494.hg.1	18	2909009	2909638	zeeklar.aAug10-unspliced	Transcript Identified by AceView	Transcript Identified by AceView	zeeklar	---
TC1800008829.hg.1	18	59672123	59672641	swoywo.aAug10-unspliced	Transcript Identified by AceView	Transcript Identified by AceView	swoywo	---
TC1800008830.hg.1	18	59676987	59677550	kohiri.aAug10-unspliced	Transcript Identified by AceView	Transcript Identified by AceView	kohiri	---
TC1900009657.hg.1	19	11011985	11018814	T168425	Transcript identified by MiTranscriptome	---	---	---
TC2000006675.hg.1	20	9081879	9084838	swywar.aAug10-unspliced	Transcript Identified by AceView	Transcript Identified by AceView	swywar	---
TC2000007188.hg.1	20	34466325	34466418	ENST00000385262 /// NR_030374 /// uc021wcb.1 /// NONHSAT079444 /// NR_030374.1:1..94:precursor_RNA	microRNA 644a [gene_biotype:miRNA transcript_biotype:miRNA] /// Homo sapiens microRNA 644a (MIR644A), microRNA. /// Homo sapiens microRNA 644a (MIR644A), microRNA. /// Non-coding transcript identified by NONCODE /// microRNA mir-644	microRNA 644a	MIR644A	---
TC2000007381.hg.1	20	41037833	41038992	NONHSAT079756 /// NONHSAT079756	Non-coding transcript identified by NONCODE /// Non-coding transcript identified by NONCODE: Sense No Exonic	---	---	---
TC2000009441.hg.1	20	50897752	50898605	smeera.aAug10-unspliced	Transcript Identified by AceView	Transcript Identified by AceView	smeera	---
TC2100008040.hg.1	21	34873349	34874044	peetaw.aAug10-unspliced	Transcript Identified by AceView	Transcript Identified by AceView	peetaw	---
TC2200008352.hg.1	22	27900396	27901367	tovaw.aAug10-unspliced	Transcript Identified by AceView	Transcript Identified by AceView	tovaw	---
