ID	Public Gene IDs	Gene Symbol	Description	Chromosome	Strand	Group	Start	Stop
TC0500006814.hg.1	smerflu.aAug10-unspliced	smerflu	Transcript Identified by AceView	chr5	+	Unassigned	14463207	14465420
TC0500006837.hg.1	ferslawbu.aAug10-unspliced	ferslawbu	Transcript Identified by AceView	chr5	+	Coding	15553154	15553580
TC0500006838.hg.1	speyflu.aAug10-unspliced	speyflu	Transcript Identified by AceView	chr5	+	Unassigned	15620400	15621610
TC0500006841.hg.1	cheeworby.aAug10-unspliced; jerstuby.aAug10-unspliced	cheeworby; jerstuby	Transcript Identified by AceView	chr5	+	Unassigned	15649698	15655226
TC0500006846.hg.1				chr5	+	NonCoding	15775711	15777036
TC0500006934.hg.1				chr5	+	NonCoding	21958912	21959598
TC0500007063.hg.1	hihime.aAug10-unspliced	hihime	Transcript Identified by AceView	chr5	+	Coding	32124431	32126637
TC0500007510.hg.1				chr5	+	NonCoding	59305178	59305626
TC0500007551.hg.1	uc063dxa.1	AC122718.1		chr5	+	Precursor_microRNA	61356436	61356545
TC0500007614.hg.1				chr5	+	NonCoding	65968831	65972392
TC0500007701.hg.1	jawvubo.aAug10-unspliced	jawvubo	Transcript Identified by AceView	chr5	+	Coding	70982623	70986467
TC0500007703.hg.1	peychaby.aAug10-unspliced	peychaby	Transcript Identified by AceView	chr5	+	Coding	70995193	70996243
TC0500007708.hg.1				chr5	+	NonCoding	71088632	71088735
TC0500007711.hg.1	cheychaby.aAug10-unspliced	cheychaby	Transcript Identified by AceView	chr5	+	Coding	71120077	71121127
TC0500007739.hg.1	hewara.aAug10-unspliced	hewara	Transcript Identified by AceView	chr5	+	Coding	72143317	72145374
TC0500007740.hg.1				chr5	+	NonCoding	72152757	72155240
TC0500007842.hg.1				chr5	+	NonCoding	77066511	77066794
TC0500007891.hg.1	torstawby.aAug10-unspliced	torstawby	Transcript Identified by AceView	chr5	+	Unassigned	79616190	79617483
TC0500007918.hg.1				chr5	+	NonCoding	80650503	80650977
TC0500008119.hg.1	uc063flz.1	RNU6-308P	RNA, U6 small nuclear 308, pseudogene [Source:HGNC Symbol;Acc:HGNC:47271]	chr5	+	Small_RNA	95521369	95521475
TC0500008230.hg.1	swawswubu.aAug10-unspliced	swawswubu	Transcript Identified by AceView	chr5	+	Unassigned	102979752	102985012
TC0500008319.hg.1	NR_002922; ENST00000458790; uc003kpt.1	SNORA13	small nucleolar RNA, H/ACA box 13	chr5	+	Small_RNA	112161485	112161617
TC0500008385.hg.1	uc063geh.1	AC026449.1	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:A0A096LPA7]	chr5	+	Coding	115855994	115858468
TC0500008428.hg.1				chr5	+	NonCoding	119007571	119007668
TC0500008591.hg.1	turura.aAug10-unspliced	turura	Transcript Identified by AceView	chr5	+	Unassigned	130007285	130009471
TC0500008710.hg.1	sweeblawby.aAug10-unspliced	sweeblawby	Transcript Identified by AceView	chr5	+	Unassigned	134925103	134925604
TC0500008711.hg.1	gloysneebu.aAug10-unspliced	gloysneebu	Transcript Identified by AceView	chr5	+	Unassigned	134926706	134927501
TC0500008712.hg.1	NR_039666; ENST00000580862; uc021ydt.1	MIR4461	microRNA 4461	chr5	+	Precursor_microRNA	134928039	134928112
TC0500008799.hg.1				chr5	+	NonCoding	138821939	138822153
TC0500008831.hg.1	sleyjy.aAug10-unspliced	sleyjy	Transcript Identified by AceView	chr5	+	Unassigned	139569223	139569623
TC0500008882.hg.1	NM_018931; ENST00000354757; ENST00000624887; BC112132; BC113611; OTTHUMT00000251813; OTTHUMT00000478889	PCDHB11	protocadherin beta 11	chr5	+	Coding	141199582	141203779
TC0500008893.hg.1	OTTHUMT00000476711; styjy.aAug10; uc063iap.1	CTD-2024I7.18; styjy	novel transcript, sense intronic to PCDHG cluster; Transcript Identified by AceView	chr5	+	NonCoding	141468465	141471528
TC0500009196.hg.1				chr5	+	NonCoding	156503810	156503932
TC0500009411.hg.1	NM_022897; ENST00000389118; ENST00000443155; ENST00000517629; ENST00000518492; ENST00000519130; ENST00000519256; ENST00000519944; ENST00000519949; ENST00000520586; ENST00000520864; ENST00000520879; ENST00000521165; ENST00000521759; ENST00000521834; ENST00000522066; ENST00000522380; ENST00000522533; ENST00000522734; ENST00000523189; ENST00000523665; ENST00000523727; ENST00000524364; ENST00000616486; OTTHUMT00000372036; OTTHUMT00000372037; OTTHUMT00000372038; OTTHUMT00000372039; OTTHUMT00000372040; OTTHUMT00000372041; OTTHUMT00000372042; OTTHUMT00000372043; OTTHUMT00000372044; OTTHUMT00000372045; OTTHUMT00000372046; OTTHUMT00000372047; OTTHUMT00000372048; OTTHUMT00000372049; OTTHUMT00000372050; OTTHUMT00000372051; OTTHUMT00000372052; OTTHUMT00000372053; OTTHUMT00000372054; OTTHUMT00000372055; OTTHUMT00000372056; OTTHUMT00000372057	RANBP17	RAN binding protein 17	chr5	+	Multiple_Complex	170861870	171300015
TC0500009581.hg.1	dawstoybu.aAug10-unspliced	dawstoybu	Transcript Identified by AceView	chr5	+	Unassigned	176261720	176262508
TC0500009857.hg.1	blorplaby.aAug10-unspliced	blorplaby	Transcript Identified by AceView	chr5	-	Unassigned	1327917	1328451
TC0500010047.hg.1				chr5	-	NonCoding	9131885	9132162
TC0500010063.hg.1	ENST00000515377.1; OTTHUMT00000365859; uc063cgg.1	CTD-2201E9.2	novel transcript	chr5	-	NonCoding	9519853	9523178
TC0500010064.hg.1	klerflu.aAug10-unspliced	klerflu	Transcript Identified by AceView	chr5	-	Unassigned	9538689	9541009
TC0500010109.hg.1				chr5	-	NonCoding	10713338	10713628
TC0500010214.hg.1	ENST00000384087; uc063cnf.1	Y_RNA	Y RNA [Source:RFAM;Acc:RF00019]	chr5	-	NonCoding	17117576	17117686
TC0500010375.hg.1				chr5	-	NonCoding	29567254	29617270
TC0500010420.hg.1	chustuby.aAug10-unspliced	chustuby	Transcript Identified by AceView	chr5	-	Coding	32145692	32146235
TC0500010461.hg.1				chr5	-	NonCoding	34109179	34112492
TC0500010559.hg.1	DAB2andC9.vkAug10-unspliced	DAB2andC9	Transcript Identified by AceView, Entrez Gene ID(s) 735; 1601	chr5	-	Unassigned	39406827	39407339
TC0500010926.hg.1	jorger.aAug10-unspliced	jorger	Transcript Identified by AceView	chr5	-	Unassigned	65426844	65427376
TC0500010945.hg.1	darvubo.aAug10-unspliced	darvubo	Transcript Identified by AceView	chr5	-	Coding	66653992	66654621
TC0500011013.hg.1	vostarby.aAug10-unspliced	vostarby	Transcript Identified by AceView	chr5	-	Coding	69651592	69652374
TC0500011055.hg.1	LOC647859.cAug10-unspliced	LOC647859	Transcript Identified by AceView, Entrez Gene ID(s) 647859	chr5	-	Unassigned	71069793	71073308
TC0500011064.hg.1				chr5	-	NonCoding	71216457	71236397
TC0500011265.hg.1	zorflo.aAug10-unspliced	zorflo	Transcript Identified by AceView	chr5	-	Coding	80242381	80243325
TC0500011276.hg.1	hsa_circ_0001507	FAM151B	Memczak2013 ANTISENSE, coding, INTERNAL, intronic best transcript NM_205548	chr5	-	NonCoding	80514813	80514947
TC0500011302.hg.1				chr5	-	NonCoding	81536528	81537392
TC0500011521.hg.1	ENST00000364014; uc063fqs.1	Y_RNA	Y RNA [Source:RFAM;Acc:RF00019]	chr5	-	NonCoding	96962656	96962757
TC0500011744.hg.1				chr5	-	NonCoding	115186508	115192786
TC0500011980.hg.1	uc063gre.1	RNU7-53P	RNA, U7 small nuclear 53 pseudogene [Source:HGNC Symbol;Acc:HGNC:34149]	chr5	-	Small_RNA	130386621	130386680
TC0500012373.hg.1	basteyby.aAug10-unspliced	basteyby	Transcript Identified by AceView	chr5	-	Coding	146140418	146142071
TC0500012580.hg.1	uc063jbo.1	AC016577.1	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:A0A096LNJ9]	chr5	-	Coding	156658587	156660435
TC0500012581.hg.1	wocheyby.aAug10-unspliced	wocheyby	Transcript Identified by AceView	chr5	-	Coding	156661217	156663007
TC0500013251.hg.1	NM_020768; ENST00000512467; BC111962; BC113435; OTTHUMT00000371897	KCTD16	potassium channel tetramerization domain containing 16	chr5	+	Multiple_Complex	144170832	144477381
TC0500013423.hg.1	NM_001257293; NM_005520; ENST00000329433; ENST00000356731; ENST00000393432; ENST00000442819; ENST00000502632; ENST00000502904; ENST00000503105; ENST00000503664; ENST00000504348; ENST00000504549; ENST00000504779; ENST00000505087; ENST00000505811; ENST00000506721; ENST00000508103; ENST00000510411; ENST00000510431; ENST00000510678; ENST00000512273; ENST00000513225; ENST00000513230; ENST00000513972; ENST00000514332; ENST00000514731; ENST00000515158; ENST00000515446; ENST00000515481; ENST00000515714; ENST00000518548; ENST00000519033; ENST00000519056; ENST00000519455; ENST00000519707; ENST00000519943; ENST00000519958; ENST00000520415; ENST00000521173; ENST00000521720; ENST00000521790; ENST00000522958; ENST00000523136; ENST00000523137; ENST00000523449; ENST00000523921; ENST00000524179; ENST00000524180; ENST00000630639; BC001348; OTTHUMT00000253497; OTTHUMT00000372276; OTTHUMT00000372277; OTTHUMT00000372279; OTTHUMT00000372280; OTTHUMT00000372281; OTTHUMT00000372282; OTTHUMT00000372283; OTTHUMT00000372284; OTTHUMT00000372285; OTTHUMT00000372286; OTTHUMT00000372287; OTTHUMT00000372288; OTTHUMT00000372289; OTTHUMT00000372290; OTTHUMT00000372291; OTTHUMT00000372292; OTTHUMT00000372293; OTTHUMT00000372294; OTTHUMT00000372295; OTTHUMT00000372305; OTTHUMT00000372306; OTTHUMT00000372307; OTTHUMT00000372308; OTTHUMT00000372312; OTTHUMT00000372313; OTTHUMT00000372314; OTTHUMT00000372568; OTTHUMT00000375488; OTTHUMT00000375489; OTTHUMT00000375490; OTTHUMT00000375510; OTTHUMT00000375511; OTTHUMT00000375512; OTTHUMT00000375513; OTTHUMT00000375514; OTTHUMT00000375515; OTTHUMT00000375516; OTTHUMT00000375517; OTTHUMT00000375594; OTTHUMT00000375595; OTTHUMT00000375596; OTTHUMT00000375597; OTTHUMT00000375598; OTTHUMT00000375599; OTTHUMT00000375600	HNRNPH1	heterogeneous nuclear ribonucleoprotein H1 (H)	chr5	-	Multiple_Complex	179614178	179624669
TC0600006858.hg.1	vakloyby.bAug10-unspliced	vakloyby	Transcript Identified by AceView	chr6	+	Unassigned	7234424	7234984
TC0600007039.hg.1	larfleyby.aAug10-unspliced	larfleyby	Transcript Identified by AceView	chr6	+	Coding	15246958	15247354
TC0600007258.hg.1				chr6	+	NonCoding	25976547	25977067
TC0600007414.hg.1	jasnoybu.aAug10-unspliced	jasnoybu	Transcript Identified by AceView	chr6	+	Coding	28290121	28291360
TC0600007604.hg.1	ENST00000364337; uc063nef.1	Y_RNA	Y RNA [Source:RFAM;Acc:RF00019]	chr6	+	NonCoding	31663288	31663401
TC0600007660.hg.1				chr6	+	NonCoding	32662209	32665074
TC0600007683.hg.1	ENST00000365571; uc021ywi.2	RNY4P10	RNA, Ro-associated Y4 pseudogene 10 [Source:HGNC Symbol;Acc:HGNC:34060]	chr6	+	NonCoding	33199601	33199696
TC0600007701.hg.1	NM_002636; NM_024165; NR_027692; ENST00000374512; ENST00000374516; ENST00000427004; ENST00000427826; ENST00000428274; ENST00000459809; ENST00000479029; ENST00000486845; ENST00000487667; ENST00000488767; ENST00000495509; BC008834; OTTHUMT00000076174; OTTHUMT00000076175; OTTHUMT00000276478; OTTHUMT00000276479; OTTHUMT00000276480; OTTHUMT00000276481; OTTHUMT00000276482; OTTHUMT00000276483; OTTHUMT00000276484; OTTHUMT00000276486; OTTHUMT00000276487	PHF1	PHD finger protein 1	chr6	+	Multiple_Complex	33410399	33416453
TC0600007866.hg.1	sloyjaw.aAug10-unspliced	sloyjaw	Transcript Identified by AceView	chr6	+	Coding	37297228	37309936
TC0600007899.hg.1	leegloby.aAug10-unspliced	leegloby	Transcript Identified by AceView	chr6	+	Unassigned	37955346	37958811
TC0600007906.hg.1	seeseyby.aAug10-unspliced	seeseyby	Transcript Identified by AceView	chr6	+	Unassigned	38117259	38118755
TC0600007930.hg.1	ENST00000363068; uc063ohf.1	Y_RNA	Y RNA [Source:RFAM;Acc:RF00019]	chr6	+	NonCoding	38565950	38566055
TC0600008066.hg.1	NM_057161; NR_040101; ENST00000244670; ENST00000326974; ENST00000332245; BC000295; BC001789; BC001793; BC007296; BC009460; BC021546; BC041793; BC045612; OTTHUMT00000040570	KLHDC3	kelch domain containing 3	chr6	+	Multiple_Complex	43014103	43021298
TC0600008144.hg.1	motaby.aAug10-unspliced	motaby	Transcript Identified by AceView	chr6	+	Coding	45179411	45180142
TC0600008357.hg.1				chr6	+	NonCoding	57917096	57917266
TC0600008379.hg.1	NM_001190706; OTTHUMT00000438044	MTRNR2L9	MT-RNR2-like 9	chr6	+	Multiple_Complex	61574103	61574629
TC0600008563.hg.1	uc063pqw.1	RNU6-1016P	RNA, U6 small nuclear 1016, pseudogene [Source:HGNC Symbol;Acc:HGNC:47979]	chr6	+	Small_RNA	75644084	75644177
TC0600008617.hg.1	ENST00000607718.1; OTTHUMT00000471301; uc063psc.1	RP11-177G23.2	novel transcript	chr6	+	NonCoding	79561132	79561602
TC0600009542.hg.1	snakluby.aAug10-unspliced	snakluby	Transcript Identified by AceView	chr6	+	Unassigned	135526077	135526790
TC0600009756.hg.1	varsperbu.aAug10-unspliced	varsperbu	Transcript Identified by AceView	chr6	+	Unassigned	147294830	147296920
TC0600009793.hg.1	korfly.aAug10-unspliced	korfly	Transcript Identified by AceView	chr6	+	Unassigned	149333434	149334130
TC0600010019.hg.1				chr6	+	NonCoding	158566570	158566764
TC0600010310.hg.1	peeflarby.aAug10-unspliced	peeflarby	Transcript Identified by AceView	chr6	+	Coding	169793285	169794229
TC0600010635.hg.1				chr6	-	NonCoding	3999188	3999469
TC0600010651.hg.1				chr6	-	NonCoding	4149802	4149925
TC0600010811.hg.1	losneybu.aAug10-unspliced	losneybu	Transcript Identified by AceView	chr6	-	Coding	11207819	11208203
TC0600010815.hg.1	merblor.aAug10-unspliced	merblor	Transcript Identified by AceView	chr6	-	Unassigned	11225802	11227170
TC0600010920.hg.1	slawglorbu.aAug10-unspliced	slawglorbu	Transcript Identified by AceView	chr6	-	Coding	16293690	16294176
TC0600010924.hg.1	blufleyby.aAug10-unspliced	blufleyby	Transcript Identified by AceView	chr6	-	Coding	16362020	16362580
TC0600011086.hg.1	plysnorbu.aAug10-unspliced	plysnorbu	Transcript Identified by AceView	chr6	-	Unassigned	25101199	25102246
TC0600011169.hg.1				chr6	-	NonCoding	26864872	26866098
TC0600011199.hg.1				chr6	-	NonCoding	27505828	27505910
TC0600011873.hg.1	kloyglarby.aAug10-unspliced	kloyglarby	Transcript Identified by AceView	chr6	-	Coding	43327852	43329094
TC0600012366.hg.1	ENST00000364594	Y_RNA	Y RNA [Source:RFAM;Acc:RF00019]	chr6	-	NonCoding	79301963	79302066
TC0600012802.hg.1	jawglorby.aAug10-unspliced	jawglorby	Transcript Identified by AceView	chr6	-	Coding	109038107	109038615
TC0600012866.hg.1	weesporby.aAug10-unspliced	weesporby	Transcript Identified by AceView	chr6	-	Unassigned	111479523	111481892
TC0600012867.hg.1	spaplobu.aAug10-unspliced	spaplobu	Transcript Identified by AceView	chr6	-	Unassigned	111481994	111482594
TC0600013053.hg.1	ENST00000624649; OTTHUMT00000431293	RP3-425C14.4	TEC	chr6	-	NonCoding	122436789	122439223
TC0600013285.hg.1	lykloby.aAug10-unspliced	lykloby	Transcript Identified by AceView	chr6	-	Coding	136666777	136667725
TC0600013416.hg.1	swawspeebu.aAug10-unspliced	swawspeebu	Transcript Identified by AceView	chr6	-	Coding	143045905	143046251
TC0600013435.hg.1				chr6	-	NonCoding	144149073	144149902
TC0600013684.hg.1				chr6	-	NonCoding	157310590	157312707
TC0600013903.hg.1	sharfleeby.aAug10-unspliced	sharfleeby	Transcript Identified by AceView	chr6	-	Coding	166930682	166931025
TC0600014287.hg.1	NM_001075098; NM_005943; NR_033233; ENST00000340692; ENST00000373186; ENST00000373188; ENST00000373195; ENST00000425303; ENST00000432280; ENST00000473742; ENST00000487924; OTTHUMT00000040472; OTTHUMT00000040473; OTTHUMT00000040476; OTTHUMT00000040477; OTTHUMT00000040478; OTTHUMT00000040479; OTTHUMT00000357735; OTTHUMT00000357736	MOCS1	molybdenum cofactor synthesis 1	chr6	-	Multiple_Complex	39904165	39934551
TC0700006899.hg.1	NR_003075; ENST00000408813; uc003svl.3	SNORD93	small nucleolar RNA, C/D box 93	chr7	+	Small_RNA	22856613	22856686
TC0700007026.hg.1	tarblar.aAug10-unspliced	tarblar	Transcript Identified by AceView	chr7	+	Unassigned	27817908	27819270
TC0700007142.hg.1	sperky.aAug10-unspliced	sperky	Transcript Identified by AceView	chr7	+	Unassigned	33677023	33678213
TC0700007181.hg.1	pleyblar.aAug10-unspliced	pleyblar	Transcript Identified by AceView	chr7	+	Unassigned	35875352	35876962
TC0700007274.hg.1	kochoyby.aAug10-unspliced	kochoyby	Transcript Identified by AceView	chr7	+	Unassigned	39637210	39637461
TC0700007761.hg.1				chr7	+	NonCoding	64110327	64110398
TC0700007950.hg.1	sterslerbu.aAug10-unspliced	sterslerbu	Transcript Identified by AceView	chr7	+	Coding	72916808	72922261
TC0700008020.hg.1	flymerby.aAug10-unspliced; slorkloyby.aAug10-unspliced	flymerby; slorkloyby	Transcript Identified by AceView	chr7	+	Unassigned	74936408	74937566
TC0700008108.hg.1	teymorby.aAug10-unspliced	teymorby	Transcript Identified by AceView	chr7	+	Coding	76594833	76596999
TC0700008109.hg.1	jeesmeebu.aAug10-unspliced	jeesmeebu	Transcript Identified by AceView	chr7	+	Unassigned	76597075	76599249
TC0700008739.hg.1				chr7	+	NonCoding	106624072	106628696
TC0700008884.hg.1	dorskoyby.aAug10-unspliced	dorskoyby	Transcript Identified by AceView	chr7	+	Unassigned	117057349	117059828
TC0700009054.hg.1	ENST00000605836.1; OTTHUMT00000468356; uc064huq.1	RP11-274B21.10	novel transcript	chr7	+	NonCoding	128667043	128668156
TC0700009179.hg.1				chr7	+	NonCoding	131339965	131344277
TC0700009239.hg.1	smorbler.aAug10-unspliced	smorbler	Transcript Identified by AceView	chr7	+	Unassigned	134868624	134872388
TC0700009313.hg.1				chr7	+	NonCoding	138360727	138363193
TC0700009341.hg.1	spoyslerby.aAug10-unspliced	spoyslerby	Transcript Identified by AceView	chr7	+	Unassigned	139413090	139414626
TC0700010368.hg.1	blerlaby.aAug10-unspliced	blerlaby	Transcript Identified by AceView	chr7	-	Unassigned	17345262	17346150
TC0700010462.hg.1				chr7	-	NonCoding	23307891	23309455
TC0700010496.hg.1	sparshobu.aAug10-unspliced	sparshobu	Transcript Identified by AceView	chr7	-	Unassigned	24572156	24573910
TC0700010537.hg.1				chr7	-	NonCoding	26184064	26184809
TC0700010672.hg.1	kihere.aAug10-unspliced	kihere	Transcript Identified by AceView	chr7	-	Coding	31856700	31858921
TC0700010688.hg.1	neegloyby.aAug10-unspliced	neegloyby	Transcript Identified by AceView	chr7	-	Unassigned	32888224	32890425
TC0700010813.hg.1	uc064czt.1	AC004837.1		chr7	-	Precursor_microRNA	39685011	39685098
TC0700011773.hg.1	gloysmerbu.aAug10-unspliced	gloysmerbu	Transcript Identified by AceView	chr7	-	Coding	92204221	92204686
TC0700011960.hg.1	spushorby.aAug10-unspliced	spushorby	Transcript Identified by AceView	chr7	-	Coding	99894959	99897960
TC0700012096.hg.1	boneyby.aAug10-unspliced	boneyby	Transcript Identified by AceView	chr7	-	Unassigned	102559181	102559888
TC0700012124.hg.1	ENST00000516043; uc033abl.2	Y_RNA	Y RNA [Source:RFAM;Acc:RF00019]	chr7	-	NonCoding	103433461	103433561
TC0700012157.hg.1	rykaw.aAug10-unspliced	rykaw	Transcript Identified by AceView	chr7	-	Unassigned	105387389	105387909
TC0700012226.hg.1				chr7	-	NonCoding	107948414	107950027
TC0700012272.hg.1				chr7	-	NonCoding	111439924	111439989
TC0700012613.hg.1	NR_029503; NR_029517; NR_034120; NR_110472; NR_110473; ENST00000385015; uc003vqm.1	MIR29A; MIR29B1; LINC-PINT	microRNA 29a; microRNA 29b-1; long intergenic non-protein coding RNA, p53 induced transcript	chr7	-	Multiple_Complex	130876735	130913310
TC0700012614.hg.1	noykee.aAug10-unspliced	noykee	Transcript Identified by AceView	chr7	-	Coding	130887511	130888878
TC0700012618.hg.1	pokee.aAug10-unspliced	pokee	Transcript Identified by AceView	chr7	-	Unassigned	130899410	130899920
TC0700012620.hg.1	flobler.aAug10-unspliced	flobler	Transcript Identified by AceView	chr7	-	Unassigned	130904774	130905335
TC0700012622.hg.1	peekee.aAug10-unspliced	peekee	Transcript Identified by AceView	chr7	-	Coding	130920239	130920925
TC0700013217.hg.1	smuslawbu.aAug10-unspliced	smuslawbu	Transcript Identified by AceView	chr7	-	Unassigned	156632455	156635695
TC0700013294.hg.1	leysleebu.aAug10-unspliced	leysleebu	Transcript Identified by AceView	chr7	-	Coding	158775206	158775899
TC0700013297.hg.1	farbley.aAug10-unspliced	farbley	Transcript Identified by AceView	chr7	-	Coding	158782486	158783437
TC0800006440.hg.1	ENST00000609090.1; OTTHUMT00000471619; uc064jvz.1	RP5-855D21.3	novel transcript, sense intronic to ZNF596	chr8	+	NonCoding	233119	233692
TC0800006476.hg.1	blybly.aAug10-unspliced	blybly	Transcript Identified by AceView	chr8	+	Unassigned	1684449	1684877
TC0800006771.hg.1	leezuby.aAug10-unspliced	leezuby	Transcript Identified by AceView	chr8	+	Unassigned	12157310	12161972
TC0800006780.hg.1	plawgoyby.aAug10-unspliced	plawgoyby	Transcript Identified by AceView	chr8	+	Coding	12219343	12219732
TC0800006882.hg.1	boyblu.aAug10-unspliced	boyblu	Transcript Identified by AceView	chr8	+	Unassigned	18000831	18001325
TC0800006883.hg.1	swarslobu.aAug10-unspliced	swarslobu	Transcript Identified by AceView	chr8	+	Coding	18003349	18004044
TC0800007081.hg.1	ENST00000522547.1; OTTHUMT00000376746; uc064ljm.1	RP11-14I17.2	novel transcript	chr8	+	NonCoding	26422593	26423929
TC0800007191.hg.1	sarshor.aAug10-unspliced	sarshor	Transcript Identified by AceView	chr8	+	Unassigned	30520369	30521481
TC0800007192.hg.1	zaveebu.aAug10-unspliced	zaveebu	Transcript Identified by AceView	chr8	+	Coding	30540951	30541413
TC0800007375.hg.1				chr8	+	NonCoding	39560937	39561027
TC0800008033.hg.1	slarkor.aAug10-unspliced	slarkor	Transcript Identified by AceView	chr8	+	Unassigned	78706354	78706874
TC0800008212.hg.1				chr8	+	NonCoding	92146792	92193603
TC0800008268.hg.1	mohomu.aAug10-unspliced	mohomu	Transcript Identified by AceView	chr8	+	Coding	94876771	94878093
TC0800008320.hg.1				chr8	+	NonCoding	97773978	97774033
TC0800008482.hg.1	royveeby.aAug10-unspliced	royveeby	Transcript Identified by AceView	chr8	+	Unassigned	103379453	103380384
TC0800008483.hg.1	uc064piq.1	RNU6-1011P	RNA, U6 small nuclear 1011, pseudogene [Source:HGNC Symbol;Acc:HGNC:47974]	chr8	+	Small_RNA	103384961	103385067
TC0800008727.hg.1	ENST00000628694; uc064pwm.1	Y_RNA	Y RNA [Source:RFAM;Acc:RF00019]	chr8	+	NonCoding	123044717	123044812
TC0800008857.hg.1	NR_031611	MIR1206	microRNA 1206	chr8	+	Multiple_Complex	128008898	128008956
TC0800009303.hg.1				chr8	-	NonCoding	65046	205299
TC0800009470.hg.1	bloygeyby.aAug10-unspliced	bloygeyby	Transcript Identified by AceView	chr8	-	Coding	7502653	7503247
TC0800009504.hg.1	blawslarbu.aAug10-unspliced	blawslarbu	Transcript Identified by AceView	chr8	-	Coding	8172860	8173208
TC0800009771.hg.1	ratimu.aAug10-unspliced	ratimu	Transcript Identified by AceView	chr8	-	Coding	18902365	18905501
TC0800009773.hg.1	gaslarbu.bAug10-unspliced	gaslarbu	Transcript Identified by AceView	chr8	-	Unassigned	18928621	18929063
TC0800010261.hg.1	plawerby.aAug10-unspliced	plawerby	Transcript Identified by AceView	chr8	-	Coding	41987564	41989644
TC0800010289.hg.1				chr8	-	NonCoding	42530049	42533173
TC0800010537.hg.1				chr8	-	NonCoding	57984087	57987079
TC0800011049.hg.1				chr8	-	NonCoding	89383780	89535745
TC0800011051.hg.1	skuveybu.aAug10-unspliced	skuveybu	Transcript Identified by AceView	chr8	-	Unassigned	89517425	89518650
TC0800011055.hg.1	slarzeeby.bAug10-unspliced	slarzeeby	Transcript Identified by AceView	chr8	-	Unassigned	89692808	89693383
TC0800011057.hg.1	swaly.aAug10-unspliced	swaly	Transcript Identified by AceView	chr8	-	Coding	89750783	89752175
TC0800011318.hg.1	darveeby.aAug10-unspliced	darveeby	Transcript Identified by AceView	chr8	-	Unassigned	102382727	102383471
TC0800011402.hg.1	ENST00000518897	TMCC1P1	transmembrane and coiled-coil domain family 1 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:31901]	chr8	-	Multiple_Complex	105194990	105196969
TC0800011508.hg.1				chr8	-	NonCoding	112175936	112177977
TC0800011535.hg.1	blerverby.aAug10-unspliced	blerverby	Transcript Identified by AceView	chr8	-	Unassigned	115462657	115463603
TC0800011541.hg.1	klarverby.aAug10-unspliced	klarverby	Transcript Identified by AceView	chr8	-	Unassigned	115537765	115538433
TC0800011580.hg.1	varger.aAug10-unspliced	varger	Transcript Identified by AceView	chr8	-	Unassigned	117921986	117922971
TC0800011582.hg.1	kyveyby.aAug10-unspliced	kyveyby	Transcript Identified by AceView	chr8	-	Unassigned	117968588	117969859
TC0800011583.hg.1	slobly.aAug10-unspliced	slobly	Transcript Identified by AceView	chr8	-	Coding	117980713	117984906
TC0800011584.hg.1	sneela.aAug10-unspliced	sneela	Transcript Identified by AceView	chr8	-	Unassigned	117986208	117989212
TC0800011591.hg.1	snorla.aAug10-unspliced	snorla	Transcript Identified by AceView	chr8	-	Unassigned	118035778	118036607
TC0800011592.hg.1	snoyla.aAug10-unspliced	snoyla	Transcript Identified by AceView	chr8	-	Coding	118036773	118041582
TC0800011595.hg.1	hsa_circ_0002817; hunera.aAug10-unspliced	EXT1; hunera	Jeck2013 ALT_ACCEPTOR, ALT_DONOR, coding, INTERNAL, intronic best transcript NM_000127; Transcript Identified by AceView	chr8	-	NonCoding	118069371	118072777
TC0800011597.hg.1	hsa_circ_0007696; spawla.aAug10	EXT1; spawla	Jeck2013 ALT_ACCEPTOR, ALT_DONOR, coding, INTERNAL, intronic best transcript NM_000127; Transcript Identified by AceView	chr8	-	NonCoding	118080749	118099405
TC0800011598.hg.1				chr8	-	NonCoding	118085495	118088259
TC0800011635.hg.1	snerveyby.aAug10-unspliced	snerveyby	Transcript Identified by AceView	chr8	-	Coding	120553216	120553884
TC0800011678.hg.1				chr8	-	NonCoding	123266642	123266745
TC0800011701.hg.1	sarfarby.aAug10-unspliced	sarfarby	Transcript Identified by AceView	chr8	-	Coding	124187030	124188410
TC0800012058.hg.1				chr8	-	NonCoding	142098385	142099520
TC0800012098.hg.1	skeeforby.aAug10-unspliced	skeeforby	Transcript Identified by AceView	chr8	-	Coding	143004334	143004870
